id,terminus_post_quem,terminus_ante_quem,form,substrate_material,content,religious_affiliation,place_of_composition,latitude,longitude,bibliography,text,author,work
1,211,217,Scroll; Codex; Tablets,Papyrus; Parchment; Bark; Ivory; Wax,Legal,Polytheist,Rome,41.9028,12.4964,"English translation by Paul Dilley from the Latin text in Theodore Mommsen, Paul Krueger, Digesta Iustiniani augusti (Berlin, Weidmann, 1870); cf. Roberts and Skeat, The Birth of the Codex p. 30-32.","All rolls (volumina) are encompassed by the name of books (librorum), whether they are made of papyrus (charta) or parchment (membrana) or any other material; but even if they are of linden bark (philyra) or lime bark (tilia) or of some other skin (corio) [e.g. bark of a tree?  Or referring back to membrana?], still they have to be called the same thing [i.e. book].  But if they are in parchment (membraneis) or papyrus (chartaceis) codices (codicibus), or even ivory (eboreis), or of any other material, or in wax (ceratis) tablets (codicillis), let us consider whether they ought [to be included as ""books""].  But Gaius Cassius writes that membranes [unwritten?] ought to be included with bequeathed book; therefore it follows that other [materials] ought [to be included in the will], if the will of the testator is not opposed.",Ulpian,Digest XXXII 52 Praefatio
2,300,300,Scroll; Codex,Papyrus; Parchment,Legal,Polytheist,Rome,41.9028,12.4964,"Roberts and Skeat, The Birth of the Codex p. 32-34","Libris legatis tam chartae volumina vel membranae et philyrae continentur: codices quoque debentur: librorum enim appellatione non volumina chartarum, sed scripturae modus qui certo fine concluditur aestimatur.",Paulus,Sententiae iii. 6. 87
3,-272,-272,Booklet,Linen,Religious,Polytheist,Aquilonia,41.660021,14.459388,"Livy, History of Rome 10:38. English Translation by. Rev. Canon Roberts. New York, New York. E. P. Dutton and Co. 1912.  Electronic text from Perseus Digital Library:
http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.02.0026%3Abook%3D10%3Achapter%3D38","A space, about 200 feet square, almost in the centre of their camp, was boarded off and covered all over with linen [6] cloth. In this enclosure a sacrificial service was conducted, the words being read from an old linen book by an aged priest, Ovius Paccius, who announced that he was taking that form of service from the old ritual of the Samnite religion. It was the form which their ancestors used when they formed their secret design of wresting Capua from the [7] Etruscans. When the sacrifice was completed the captain-general sent a messenger to summon all those who were of noble birth or who were distinguished for their military [8] achievements.",Livy,History of Rome
4,139,161,Booklet,Linen,Religious,Polytheist,Anagnia,41.742213,13.158962,"Caillan Davenport and Jennifer Manley, Fronto: Selected Letters (London, Bloomsbury, 2014); Edward Champlin, ""The Chronology of Fronto,"" Journal of Roman Studies 64 (1974): 136-159. ","“But before we came to the villa we turned aside to Anagnia, nearly a mile down the road.  Then we saw that ancient town – it’s very small of course, but has lots of antiquities, with more temples and religious objects than you could count.  There was no part of the town where there wasn’t some sanctuary, shrine, or temple.  There were also lots of linen books dealing with religious subjects.” (Fronto, Letter to Marcus Aurelius 4.4, in Caillan Davenport and Jennifer Manley, Fronto: Selected Letters, London, Bloomsbury, 2014, p. 40)",Marcus Aurelius (Emperor),"Fronto, Selected Letters"
5,-1100,-1100,Leaf (Unbound),Palm Leaf,Literary,Polytheist,Cumae,40.85,14.06,"English translation by Paul Dilley from the Latin text:
Bucolics, Aeneid, and Georgics of Vergil, ed. J. B. Greenough (Boston. Ginn & Co. 1900); consulted online text through the Perseus Digital Library:
http://data.perseus.org/citations/urn:cts:latinLit:phi0690.phi003.perseus-lat1:3.441-3.462
","You shall see a mad prophetess, who under the deep cliff sings oracles, and commits names and signs to leaves [foliis].  And whatever verses the virgin has written down on the leaves [foliis], she divides by number, and sets them down, shut away, in the cave. ",Virgil,Aeneid iii 443-446
6,0,100,Scroll?,Bark; Papyrus,Literary,Polytheist,Pushkalāvatī,34.168,71.736,"English translation by Paul Dilley from the Latin text in ed. Theodor Vogel, 1880; online version at http://penelope.uchicago.edu/Thayer/L/Roman/Texts/Curtius/8*.html.",The barks [libri] of trees are soft and they take writing not unlike papyrus [chartae],Quintus Curtius Rufus,History of Alexander of Macedon
7,-428,-428,Booklet,Linen,Literary,Polytheist,Rome,41.891775,12.486137,"English translate by Paul Dilley, from the Latin text in Livy, ab urbe condita libri, eds. W. Weissenborn, H.J. Müller (Leipzig: Teubner, 1898).  Accessed through the digital version:
http://data.perseus.org/citations/urn:cts:latinLit:phi0914.phi0014.perseus-lat1:20","Because I had heard Augustus Caesar, the founder or restorer of all temples, having entered the temple of Jupiter Feretrius, which, dilapidated from old age, he had remade, himself read the writing [scriptum] on a linen [lineo] breast plate, I judged that it would be nearly a sacrilege to withhold from Cossus the testimony of his spoils as given by Caesar, the builder of the temple itself.  What is the error in this matter, that such ancient annals, and the books of the magistrates [magistratuum libri], in linen [linteos], deposited in the temple of Moneta, which Macer Licinius often cites as authorities, only have A. Cornelius Cossus as consul, with T. Quinctius Poenus, ten years later, is a judgment everyone must make.",Livy,Ab urbe condita 4.2
8,-328,-324,Scroll?,Linen,Epistle,\N,"Pataliputra (inferred; capital of the Nanda Empire, which Alexander fought in his Indian campaign)",25.6022,85.1194,"Strabo, Geographica, ed. A. Meineke (Leipzig: Teubner, 1877).  Greek text at
http://data.perseus.org/citations/urn:cts:greekLit:tlg0099.tlg001.perseus-grc1:15.1.67
http://vocab.getty.edu/page/tgn/7001575","[The Indians] write, says [Nearchus], epistles on well beaten linen [sindosi], while others assert that they do not use writing. [trans. Dilley]",Strabo,Geography XV 1 67
9,-25,-20,Scroll?,Animal Skin,Epistle,\N,"Bargosa (Home town of the ambassador Zarmanochegas, cf. Strabo XV 1 73)",21.75,73,"Strabo, Geographica, ed. A. Meineke (Leipzig: Teubner, 1877)
http://vocab.getty.edu/page/tgn/7545012","[Nicolaus of Damascus] says that in Antioch, beside Daphne, he came upon ambassadors of the Indians, having been dispatched to Caesar Augustus; from the larger group made clear by the letter [epistolhs], three alone survived, whom he says to have seen), but the others perished, mostly because of the length of the journey; and (he says that) that the letter [epistolhn], written on skin [diphtherai], was Greek, making clear that Poros was the writer. (trans. Paul Dilley)",Strabo,Geography XV 1 73
10,201,300,Scroll,Papyrus?,\N,Christian,\N,\N,\N,\N,"<img src=""./images/witness-images/Paul_philosopher.jpg"" style=""height: 8em;"">
Brief Description",unknown,Painting of Paul the Philosopher
