start,end,label,color,meta_start,meta_end,pa_link,pa_name,pa_year,wp_link,wp_name,reg_label,wd_link,pp_link
1600 BC,1046 BC,Shang Dynasty,blue,1600 BCE,1046 BCE,http://n2t.net/ark:/99152/p0fp7wv,CHGIS: Major Chinese Periods Chronology | Merrick Lex Berman |,2015,https://en.wikipedia.org/wiki/Shang_dynasty,Wikipedia,China,http://www.wikidata.org/entity/Q148,http://n2t.net/ark:/99152/p0fp7wvqcws
1046 BC,256 BC,Zhou Period,red,1046 BCE,256 BCE,http://n2t.net/ark:/99152/p0fp7wv,CHGIS: Major Chinese Periods Chronology | Merrick Lex Berman |,2015,"https://en.wikipedia.org/wiki/Zhou_dynasty#:~:text=The%20Zhou%20dynasty%20(Chinese%3A%20%E5%91%A8,Chinese%20history%20(790%20years).&text=This%20period%20of%20Chinese%20history,zenith%20of%20Chinese%20bronzeware%20making.",Wikipedia,China,http://www.wikidata.org/entity/Q148,http://n2t.net/ark:/99152/p0fp7wvsqwt
475 BC,221 BC,Warring States Period,orange,475 BCE,221 BCE,http://n2t.net/ark:/99152/p0fp7wv,CHGIS: Major Chinese Periods Chronology | Merrick Lex Berman |,2015,https://en.wikipedia.org/wiki/Warring_States_period,Wikipedia,China,http://www.wikidata.org/entity/Q148,http://n2t.net/ark:/99152/p0fp7wvxmqg
221 BC,206 BC,Qin Dynasty,green,221 BCE,206 BCE,http://n2t.net/ark:/99152/p0fp7wv,CHGIS: Major Chinese Periods Chronology | Merrick Lex Berman |,2015,https://en.wikipedia.org/wiki/Qin_dynasty,Wikipedia,China,http://www.wikidata.org/entity/Q148,http://n2t.net/ark:/99152/p0fp7wv2mgt
206 BC,220,Han Dynasties,yellow,206 BCE,220 CE,http://n2t.net/ark:/99152/p0fp7wv,CHGIS: Major Chinese Periods Chronology | Merrick Lex Berman |,2015,https://en.wikipedia.org/wiki/Han_dynasty,Wikipedia,China,http://www.wikidata.org/entity/Q148,http://n2t.net/ark:/99152/p0fp7wv9s3f
220,280,Three Kingdoms Period,purple,220 CE,280 CE,http://n2t.net/ark:/99152/p0fp7wv,CHGIS: Major Chinese Periods Chronology | Merrick Lex Berman |,2015,https://en.wikipedia.org/wiki/Three_Kingdoms,Wikipedia,China,http://www.wikidata.org/entity/Q148,http://n2t.net/ark:/99152/p0fp7wv72wc
265,420,Jin Dynasty,sienna,265 CE,420 CE,http://n2t.net/ark:/99152/p0fp7wv,CHGIS: Major Chinese Periods Chronology | Merrick Lex Berman |,2015,https://en.wikipedia.org/wiki/Jin_dynasty_(266%E2%80%93420),Wikipedia,China,http://www.wikidata.org/entity/Q148,http://n2t.net/ark:/99152/p0fp7wvk97r
420,577,Northern and Southern Dynasties Period,mediumaquamarine,420 CE,577 CE,http://n2t.net/ark:/99152/p0fp7wv,CHGIS: Major Chinese Periods Chronology | Merrick Lex Berman |,2015,https://en.wikipedia.org/wiki/Northern_and_Southern_dynasties,Wikipedia,China,http://www.wikidata.org/entity/Q148,http://n2t.net/ark:/99152/p0fp7wvh6rz
581,618,Sui Dynasty,salmon,581 CE,618 CE,http://n2t.net/ark:/99152/p0fp7wv,CHGIS: Major Chinese Periods Chronology | Merrick Lex Berman |,2015,https://en.wikipedia.org/wiki/Sui_dynasty,Wikipedia,China,http://www.wikidata.org/entity/Q148,http://n2t.net/ark:/99152/p0fp7wv9h4n
618,907,Tang Dynasty,darkgray,618 CE,907 CE,http://n2t.net/ark:/99152/p0fp7wv,CHGIS: Major Chinese Periods Chronology | Merrick Lex Berman |,2015,https://en.wikipedia.org/wiki/Tang_dynasty,Wikipedia,China,http://www.wikidata.org/entity/Q148,http://n2t.net/ark:/99152/p0fp7wvrjpj
907,1279,Five Dynasties and Ten Kingdoms Period,orchid,907 CE,1279 CE,http://n2t.net/ark:/99152/p0fp7wv,CHGIS: Major Chinese Periods Chronology | Merrick Lex Berman |,2015,https://en.wikipedia.org/wiki/Five_Dynasties_and_Ten_Kingdoms_period,Wikipedia,China,http://www.wikidata.org/entity/Q148,http://n2t.net/ark:/99152/p0fp7wv5h26
960,1279,Song,yellowgreen,960 CE,1279 CE,http://n2t.net/ark:/99152/p0fp7wv,CHGIS: Major Chinese Periods Chronology | Merrick Lex Berman |,2015,https://en.wikipedia.org/wiki/Song_dynasty,Wikipedia,China,http://www.wikidata.org/entity/Q148,http://n2t.net/ark:/99152/p0fp7wvbdm8
1206,1388,Yuan Dynasty,burlywood,1206 CE,1388 CE,http://n2t.net/ark:/99152/p0fp7wv,CHGIS: Major Chinese Periods Chronology | Merrick Lex Berman |,2015,https://en.wikipedia.org/wiki/Yuan_dynasty,Wikipedia,China,http://www.wikidata.org/entity/Q148,http://n2t.net/ark:/99152/p0fp7wvvrz5
1368,1644,Ming Dynasty,blue,1368 CE,1644 CE,http://n2t.net/ark:/99152/p0fp7wv,CHGIS: Major Chinese Periods Chronology | Merrick Lex Berman |,2015,https://en.wikipedia.org/wiki/Ming_dynasty,Wikipedia,China,http://www.wikidata.org/entity/Q148,http://n2t.net/ark:/99152/p0fp7wv2s8c
