workId,workTitle,Author,Century
L1,Passio apostoli Pauli,Abdias,
L2,Virtutes Andreae,Abdias,
L3,Virtutes Philippi,Abdias,
L4,Martyrium Bartholomaei,Abdias,
L5,Passio Matthaei,Abdias,
L6,Passio Iacobi Zebedaei,Abdias,
L7,Passio Iacobi Minoris Fratris Domini,Abdias,
L8,Passio Simonis et Iudae,Abdias,
L9,Epigramma,Ablabius,CE 4
L10,Epistularum Fragmenta,Marcus Aburius,BCE 2
L11,Annales,Accius Lucius,BCE 2-1
L12,tragoediarum fragmenta,Accius Lucius,BCE 2-1
L13,praetextarum fragmenta,Accius Lucius,BCE 2-1
L14,carminum fragmenta,Accius Lucius,BCE 2-1
L15,Didascalica,Accius Lucius,BCE 2-1
L16,Sotadica,Accius Lucius,BCE 2-1
L17,Parerga,Accius Lucius,BCE 2-1
L18,Pragmatica,Accius Lucius,BCE 2-1
L19,Aeneadae sive Decius,Accius Lucius,BCE 2-1
L20,Brutus,Accius Lucius,BCE 2-1
L21,Achilles,Accius Lucius,BCE 2-1
L22,Myrmidones,Accius Lucius,BCE 2-1
L23,Aegisthus,Accius Lucius,BCE 2-1
L24,Clytemnestra,Accius Lucius,BCE 2-1
L25,Agamemnonidae,Accius Lucius,BCE 2-1
L26,Erigona,Accius Lucius,BCE 2-1
L27,Alcestis,Accius Lucius,BCE 2-1
L28,Alcimeo,Accius Lucius,BCE 2-1
L29,Alphesiboea,Accius Lucius,BCE 2-1
L30,Amphitruo,Accius Lucius,BCE 2-1
L31,Persidae,Accius Lucius,BCE 2-1
L32,Andromeda,Accius Lucius,BCE 2-1
L33,Antenoridae,Accius Lucius,BCE 2-1
L34,Deiphobus,Accius Lucius,BCE 2-1
L35,Antigona,Accius Lucius,BCE 2-1
L36,Armorum Iudicum,Accius Lucius,BCE 2-1
L37,Astyanax,Accius Lucius,BCE 2-1
L38,Athamas,Accius Lucius,BCE 2-1
L39,Atreus,Accius Lucius,BCE 2-1
L40,Bacchae,Accius Lucius,BCE 2-1
L41,Chrysippus,Accius Lucius,BCE 2-1
L42,Diomedes,Accius Lucius,BCE 2-1
L43,Epigoni,Accius Lucius,BCE 2-1
