Term	RawFrequency	RelativeFrequency
ὁ	45872	0.15020056
καί	17768	0.058178484
αὐτός	10524	0.034459163
δέ	9877	0.03234066
unknown	8681	0.028424552
οὗτος	4320	0.014145152
εἰμί	3783	0.0123868305
μέν	3156	0.010333819
εἰς	3081	0.0100882435
τε	3059	0.010016208
ἐπί	2940	0.009626562
ὅς	2841	0.009302402
πρός	2742	0.008978242
ἐν	2379	0.0077896565
γάρ	2232	0.007308328
οὐ	2032	0.00665346
γίγνομαι	1946	0.006371867
κατά	1910	0.006253991
πᾶς	1771	0.005798857
βασιλεύς	1735	0.005680981
ὡς	1710	0.0055991225
θεός	1582	0.005180007
περί	1519	0.0049737236
ἐκ	1489	0.0048754932
διά	1466	0.0048001832
ὑπό	1414	0.0046299174
ἔχω	1374	0.004498944
τις	1353	0.0044301827
μή	1247	0.0040831026
ποιέω	1175	0.0038473501
παρά	1138	0.0037261997
πολύς	1119	0.0036639872
ἐκεῖνος	1081	0.0035395622
μετά	1073	0.0035133674
ἐγώ	1067	0.0034937214
ἀλλά	1058	0.0034642525
πόλις	931	0.003048411
λέγω	835	0.0027340744
ἰουδαῖος	830	0.0027177026
ἕ	807	0.0026423929
ἄλλος	763	0.002498322
σύ	757	0.002478676
πρότερος	737	0.002413189
εἰ	688	0.0022527464
λαμβάνω	682	0.0022331004
οὖν	679	0.0022232772
μέγας	655	0.0021446932
ἄν	645	0.0021119497
παῖς	637	0.0020857549
ἑαυτοῦ	628	0.002056286
μηδείς	581	0.0019023919
ὅστις	579	0.0018958432
πατήρ	552	0.001807436
ἀπό	544	0.0017812413
ἠέ	543	0.001777967
γυνή	542	0.0017746927
οὕτως	529	0.0017321262
ἡρώδης	515	0.0016862854
οὐδείς	508	0.001663365
δίδωμι	504	0.0016502676
κελεύω	502	0.001643719
πλῆθος	493	0.0016142499
ἡμέρα	484	0.0015847809
τοιοῦτος	467	0.0015291171
λόγος	456	0.0014930994
πέμπω	455	0.001489825
βούλομαι	450	0.0014734532
ἀνήρ	437	0.0014308868
ἀδελφός	433	0.0014177895
εἶπον	426	0.0013948691
ἅπας	419	0.0013719487
μόνος	411	0.001345754
καλέω	409	0.0013392053
πολέμιος	408	0.001335931
βασιλεία	405	0.001326108
ἤδη	404	0.0013228336
παρέχω	396	0.0012966389
οὐδέ	390	0.0012769928
υἱός	388	0.0012704441
χώρα	386	0.0012638955
φημί	379	0.0012409751
πράσσω	379	0.0012409751
δοκέω	379	0.0012409751
ἀρχή	376	0.0012311521
ὅσος	373	0.0012213291
ὑπέρ	371	0.0012147804
τυγχάνω	359	0.0011754882
πάρειμι	353	0.0011558422
τίς	352	0.0011525679
ἄγω	350	0.0011460192
γῆ	329	0.001077258
νόμος	327	0.0010707094
χρόνος	326	0.001067435
δύναμαι	326	0.001067435
σύν	325	0.0010641607
δύναμις	324	0.0010608863
ἔρχομαι	310	0.0010150456
καῖσαρ	309	0.0010117713
οὔτε	308	0.001008497
ἀξιόω	307	0.0010052226
κακός	305	9.99E-04
ἄνθρωπος	300	9.82E-04
τιμή	297	9.72E-04
μηδέ	297	9.72E-04
ἑβραῖος	297	9.72E-04
φίλος	290	9.50E-04
ναός	290	9.50E-04
ἕκαστος	289	9.46E-04
ἔτι	289	9.46E-04
νῦν	284	9.30E-04
δίκαιος	284	9.30E-04
ὁράω	282	9.23E-04
ἔθνος	280	9.17E-04
δηλόω	280	9.17E-04
ὄνομα	279	9.14E-04
συμβαίνω	278	9.10E-04
πείθω	276	9.04E-04
ἀγαθός	274	8.97E-04
προφήτης	273	8.94E-04
πρᾶγμα	272	8.91E-04
χράομαι	271	8.87E-04
καταλιμπάνω	270	8.84E-04
φέρω	269	8.81E-04
μέλλω	269	8.81E-04
παρακαλέω	266	8.71E-04
ἀρχιερεύς	266	8.71E-04
δύο	264	8.64E-04
μήτε	263	8.61E-04
ἐπεί	262	8.58E-04
τότε	261	8.55E-04
αἰτία	256	8.38E-04
τρόπος	255	8.35E-04
καθίστημι	255	8.35E-04
ἄρχω	254	8.32E-04
δή	250	8.19E-04
ἕτερος	249	8.15E-04
ἴδιος	245	8.02E-04
γένος	245	8.02E-04
ἔργον	244	7.99E-04
μᾶλλον	243	7.96E-04
παραγίγνομαι	239	7.83E-04
ὥστε	238	7.79E-04
λαός	237	7.76E-04
ἀρετή	237	7.76E-04
δέω	235	7.69E-04
χρῆμα	231	7.56E-04
πάσχω	228	7.47E-04
ἥκω	227	7.43E-04
πόλεμος	225	7.37E-04
εἷς	225	7.37E-04
γαῗος	225	7.37E-04
γε	224	7.33E-04
μάχη	223	7.30E-04
μέντοι	222	7.27E-04
κομίζω	221	7.24E-04
πάλιν	220	7.20E-04
οἰκεῖος	218	7.14E-04
καιρός	218	7.14E-04
ἔτος	218	7.14E-04
ὑρκανός	217	7.11E-04
φυλή	216	7.07E-04
στρατία	213	6.97E-04
δέομαι	213	6.97E-04
δεινός	211	6.91E-04
γιγνώσκω	210	6.88E-04
ἱερόν	208	6.81E-04
ἵνα	208	6.81E-04
γράφω	206	6.75E-04
ἀπόλλυμι	206	6.75E-04
τελευτάω	205	6.71E-04
ὀλίγος	205	6.71E-04
παραλαμβάνω	202	6.61E-04
ἀναιρέω	202	6.61E-04
ἀλέξανδρος	202	6.61E-04
νομίζω	199	6.52E-04
εὑρίσκω	199	6.52E-04
ζάω	197	6.45E-04
βασιλεύω	196	6.42E-04
ἀποκτείνω	196	6.42E-04
στρατηγός	192	6.29E-04
θυγάτηρ	189	6.19E-04
γνώμη	187	6.12E-04
τοσοῦτος	186	6.09E-04
μανθάνω	186	6.09E-04
θυσία	186	6.09E-04
ἀποθνήσκω	186	6.09E-04
σύριος	184	6.02E-04
ἐθέλω	184	6.02E-04
ὅμοιος	181	5.93E-04
λοιπός	181	5.93E-04
θεῖος	181	5.93E-04
καλός	180	5.89E-04
διαφθείρω	180	5.89E-04
εὔνοια	178	5.83E-04
ὅπως	177	5.80E-04
κρατέω	177	5.80E-04
ἀκούω	177	5.80E-04
βίος	175	5.73E-04
πάτριος	174	5.70E-04
ἐλπίς	174	5.70E-04
ἔτης	174	5.70E-04
ἡγεμών	173	5.66E-04
μήτηρ	171	5.60E-04
ἀντίπατρος	171	5.60E-04
τόπος	170	5.57E-04
ἀφικνέομαι	170	5.57E-04
εὐθύς	167	5.47E-04
φύσις	166	5.44E-04
ὀργή	166	5.44E-04
ἀγρίππας	166	5.44E-04
μάλιστα	165	5.40E-04
αἴγυπτος	165	5.40E-04
ἰούδας	163	5.34E-04
μέχρι	162	5.30E-04
φεύγω	161	5.27E-04
πρό	161	5.27E-04
κατασκευάζω	160	5.24E-04
ἐχθρός	160	5.24E-04
ἀλλήλων	159	5.21E-04
προστάσσω	158	5.17E-04
παραδίδωμι	158	5.17E-04
ἱερεύς	158	5.17E-04
αἰγύπτιος	158	5.17E-04
στρατιώτης	154	5.04E-04
χείρ	153	5.01E-04
εἶδον	153	5.01E-04
ἀφαιρέω	153	5.01E-04
πολεμέω	152	4.98E-04
οἶδα	152	4.98E-04
σωτηρία	151	4.94E-04
ἀίω	151	4.94E-04
κρίνω	150	4.91E-04
δείδω	150	4.91E-04
πιστεύω	148	4.85E-04
ὅδε	148	4.85E-04
ἰώσηπος	148	4.85E-04
μείς	146	4.78E-04
ἀδελφή	146	4.78E-04
ἄξιος	145	4.75E-04
ὅλος	143	4.68E-04
κίνδυνος	143	4.68E-04
ἀριστόβουλος	143	4.68E-04
ὑπάρχω	142	4.65E-04
μυριάς	142	4.65E-04
φυλάσσω	141	4.62E-04
δέχομαι	141	4.62E-04
χράω	140	4.58E-04
τέλος	140	4.58E-04
καταλαμβάνω	140	4.58E-04
τιμάω	139	4.55E-04
τεῖχος	136	4.45E-04
ἵστημι	136	4.45E-04
θάνατος	136	4.45E-04
μέγεθος	135	4.42E-04
δόξα	135	4.42E-04
χωρίον	134	4.39E-04
κατέχω	134	4.39E-04
χαρίζομαι	132	4.32E-04
ὁδός	132	4.32E-04
διάνοια	131	4.29E-04
ὁρμάω	130	4.26E-04
ὄρος	130	4.26E-04
μένω	130	4.26E-04
ἀντίοχος	130	4.26E-04
χάρις	129	4.22E-04
σῶμα	129	4.22E-04
οἶκος	129	4.22E-04
ἡγέομαι	129	4.22E-04
φανερός	128	4.19E-04
τρέπω	128	4.19E-04
ἱερά	128	4.19E-04
ὑπολαμβάνω	127	4.16E-04
σημαίνω	127	4.16E-04
προερέω	126	4.13E-04
ὄψις	125	4.09E-04
ἐπιτρέπω	125	4.09E-04
ἐμός	125	4.09E-04
σπουδή	124	4.06E-04
πτολεμαῖος	124	4.06E-04
ἀπολύω	124	4.06E-04
τέκνον	123	4.03E-04
ἅμα	123	4.03E-04
ἀκέω	123	4.03E-04
χαλεπός	121	3.96E-04
ἀποδείκνυμι	121	3.96E-04
ἀπαλλάσσω	121	3.96E-04
πρόνοια	120	3.93E-04
νικάω	120	3.93E-04
μήν	120	3.93E-04
γάμος	119	3.90E-04
ψυχή	118	3.86E-04
ὅπλον	118	3.86E-04
τολμάω	117	3.83E-04
σός	117	3.83E-04
τιμωρία	116	3.80E-04
πίστις	116	3.80E-04
θύω	116	3.80E-04
θνήσκω	116	3.80E-04
ἐξουσία	116	3.80E-04
δέκα	116	3.80E-04
τελευτή	115	3.77E-04
παλαιστῖνος	115	3.77E-04
νύξ	115	3.77E-04
κτείνω	115	3.77E-04
ἀρχέλαος	115	3.77E-04
ἀποδίδωμι	115	3.77E-04
ἡδονά	114	3.73E-04
δίκη	114	3.73E-04
σώζω	113	3.70E-04
οἷος	113	3.70E-04
ἀντώνιος	113	3.70E-04
εἴκοσι	112	3.67E-04
μέρος	111	3.63E-04
ἐκεῖ	111	3.63E-04
δημήτριος	111	3.63E-04
στρατόπεδον	110	3.60E-04
μικρός	110	3.60E-04
χωρέω	109	3.57E-04
χρύσεος	109	3.57E-04
ὁπόσος	109	3.57E-04
νέος	109	3.57E-04
κωλύω	109	3.57E-04
γράμμα	109	3.57E-04
αἱρέω	109	3.57E-04
συγχωρέω	108	3.54E-04
