Term	RawFrequency	RelativeFrequency
ὁ	19042	0.15207928
καί	6341	0.050642516
δέ	4788	0.038239453
unknown	3169	0.025309278
αὐτός	2337	0.018664494
μέν	1952	0.015589684
εἰμί	1351	0.010789786
τε	1343	0.010725895
πρός	1203	0.009607782
εἰς	1188	0.009487985
ἐπί	1079	0.008617453
οὗτος	1066	0.008513629
γάρ	1066	0.008513629
κατά	1039	0.008297993
ὅς	966	0.007714977
ἐν	847	0.0067645814
οὐ	812	0.0064850533
πᾶς	740	0.005910024
ὡς	679	0.0054228464
πόλις	658	0.005255129
τις	652	0.0052072103
πολύς	637	0.0050874124
διά	584	0.004664127
μετά	581	0.0046401676
ἰουδαῖος	543	0.00433668
ἐκ	510	0.0040731244
ὑπό	493	0.003937354
περί	485	0.0038734616
μή	426	0.003402257
ἀλλά	408	0.0032584995
ἀπό	407	0.0032505132
γίγνομαι	371	0.0029629983
ἕ	368	0.002939039
παρά	366	0.0029230658
πλῆθος	345	0.002755349
εἰ	327	0.0026115917
ἔχω	327	0.0026115917
ἐκεῖνος	314	0.002507767
ἑαυτοῦ	305	0.0024358882
τεῖχος	299	0.002387969
οὔτε	288	0.0023001174
ἄλλος	280	0.0022362252
πρότερος	276	0.0022042792
βασιλεύς	275	0.0021962926
ἐγώ	270	0.00215636
πόλεμος	267	0.0021324004
οὖν	263	0.0021004544
ἠέ	261	0.0020844813
ἄν	254	0.0020285759
ἡρώδης	250	0.0019966296
μόνος	240	0.0019167645
μέγας	228	0.0018209263
ἡμέρα	225	0.0017969668
γε	222	0.0017730072
ἀναιρέω	218	0.0017410611
ἤδη	217	0.0017330745
μέχρι	216	0.0017250881
καῖσαρ	213	0.0017011286
πολέμιος	210	0.0016771689
ποιέω	199	0.0015893172
ἕκαστος	199	0.0015893172
οὐδείς	192	0.0015334116
καλέω	192	0.0015334116
θεός	189	0.001509452
δή	189	0.001509452
σύ	188	0.0015014656
τίς	187	0.001493479
οὐδέ	176	0.0014056274
δοκέω	175	0.0013976408
ἀνήρ	171	0.0013656947
ὑπέρ	167	0.0013337487
ὀλίγος	167	0.0013337487
ἱερόν	165	0.0013177756
